product_id,product_name,brand,package_quantity,package_unit,product_category,from_date,to_date,percentage_of_discount
P052,iaurt natural 3%,ARO,400,g,lactate,5/29/2025,6/5/2025,21
P067,detergent lichid color,Fine Life,2,l,produse de menaj,5/27/2025,6/3/2025,9
P109,ton bucăți în apă,Carrefour,160,g,alimente de bază,5/28/2025,6/4/2025,24
P063,smântână 20%,ARO,200,g,lactate,5/27/2025,6/6/2025,12
P061,cafea boabe,Metro Chef,1,kg,cafea,5/26/2025,6/5/2025,17
P091,roșii cherry,Carrefour,250,g,legume și fructe,5/26/2025,6/3/2025,8
P114,sare iodată,Carrefour,1,kg,alimente de bază,5/27/2025,6/5/2025,7
P110,orez basmati,Carrefour,1,kg,alimente de bază,5/29/2025,6/3/2025,19
P054,brânză feta,Metro Chef,300,g,lactate,5/28/2025,6/6/2025,13
P105,șampon păr normal,Carrefour,400,ml,îngrijire personală,5/27/2025,6/5/2025,20
P093,spaghetti nr.3,Carrefour,500,g,paste făinoase,5/26/2025,6/6/2025,6
P100,cereale cu fructe,Carrefour,500,g,mic dejun,5/29/2025,6/4/2025,16
P057,carne tocată porc/carne vită,Metro Chef,1,kg,carne,5/28/2025,6/5/2025,14
P070,cereale cu ciocolată,ARO,375,g,mic dejun,5/29/2025,6/4/2025,23
P088,ouă bio,Carrefour Bio,6,buc,ouă,5/26/2025,6/5/2025,10
