product_id,product_name,product_category,brand,package_quantity,package_unit,price,currency
P051,lapte UHT 3.5%,lactate,Metro Chef,1,l,6.65,RON
P052,iaurt natural 3%,lactate,ARO,400,g,3.29,RON
P053,ouă M,ouă,Metro Chef,10,buc,13.45,RON
P054,brânză feta,lactate,Metro Chef,300,g,11.5,RON
P055,baghetă albă,panificație,Fine Life,400,g,4.1,RON
P056,roșii rondele,legume și fructe,Generic,500,g,6.59,RON
P057,carne tocată porc/carne vită,carne,Metro Chef,1,kg,25.9,RON
P058,penne rigate,paste făinoase,ARO,500,g,3.45,RON
P059,zahăr brun,alimente de bază,Fine Life,1,kg,5.5,RON
P060,apă minerală carbogazoasă,băuturi,Metro Chef,2,l,3.5,RON
P061,cafea boabe,cafea,Metro Chef,1,kg,37.8,RON
P062,napolitane cu ciocolată,gustări,Fine Life,180,g,5.2,RON
P063,smântână 20%,lactate,ARO,200,g,4.35,RON
P064,unt 65%,lactate,Fine Life,250,g,7.85,RON
P065,smântână 20%,lactate,ARO,1000,g,18.2,RON
P066,hârtie igienică reciclată,produse de menaj,ARO,8,role,14.99,RON
P067,detergent lichid color,produse de menaj,Fine Life,2,l,25.5,RON
P068,iaurt cu fructe pădure,lactate,Fine Life,300,g,3.75,RON
P069,iaurt grecesc,lactate,Carrefour,600,g,4.9,RON
P070,cereale cu ciocolată,mic dejun,ARO,375,g,6.55,RON
P086,lapte proaspăt 3.5%,lactate,Carrefour,1,l,7.1,RON
P087,iaurt grecesc,lactate,Carrefour,400,g,4.6,RON
P088,ouă bio,ouă,Carrefour Bio,6,buc,12.3,RON
P089,telemea de vacă,lactate,Carrefour,300,g,10.1,RON
P090,pâine integrală felii,panificație,Carrefour,500,g,5.5,RON
P091,roșii cherry,legume și fructe,Carrefour,250,g,8.75,RON
P092,piept pui file,carne,Carrefour,1,kg,28.5,RON
P093,spaghetti nr.3,paste făinoase,Carrefour,500,g,4.2,RON
P094,zahăr tos,alimente de bază,Carrefour,1,kg,4.59,RON
P095,apă plată,băuturi,Carrefour,2,l,3.49,RON
P115,lapte bio 3.5%,lactate,Gusturi Românești,1,l,7.25,RON
P116,iaurt natur 2%,lactate,Zuzu,400,g,3.89,RON
P117,ouă free range,ouă,Ferma Baciului,10,buc,14.5,RON
P118,brânză de burduf,lactate,Hochland,250,g,11.9,RON
P119,baghetă rustică,panificație,Mega Apetit,400,g,4.45,RON
P120,castraveți cornichon,legume și fructe,Proaspăt,500,g,5.99,RON
P121,carne tocată vită,carne,Rewe Best,1,kg,32.5,RON
P122,spaghetti integrale,paste făinoase,Băneasa,500,g,4.6,RON
P123,făină albă 000,alimente de bază,Băneasa,1,kg,4.2,RON
P124,apă plată,băuturi,Izvorul Alb,2,l,3.3,RON
P125,cafea capsule espresso,cafea,Jacobs,100,g,28.9,RON
P126,napolitane cremă vanilie,gustări,Alfers,180,g,4.9,RON
P127,apă plată,băuturi,Izvorul Alb,5,l,10,RON
P128,unt President 82%,lactate,President,250,g,10.99,RON
P129,cereale mix fructe,mic dejun,Nestlé,500,g,10.25,RON
P130,prosoape hârtie 2 straturi,produse de menaj,Zewa,2,role,7.99,RON
P131,detergent pudră rufe,produse de menaj,Persil,2.2,kg,35.6,RON
P132,săpun lichid mușețel,îngrijire personală,Protex,0.75,l,8,RON
P133,granola cu alune,mic dejun,Kellogg’s,400,g,11.5,RON
P134,șampon păr gras,îngrijire personală,Dove,400,ml,15.9,RON
P135,săpun lichid mușețel,îngrijire personală,Protex,500,ml,7.1,RON
