product_id,product_name,product_category,brand,package_quantity,package_unit,price,currency
P004,brânză telemea vacă,lactate,Pilos,0.3,kg,10.55,RON
P010,apă plată,băuturi,Saguaro,2,l,3.65,RON
P016,unt 82%,lactate,Pilos,250,g,9.45,RON
P007,piept de pui dezosat,carne,Pikok,1,kg,28.45,RON
P014,unt 82%,lactate,Pilos,500,g,15.75,RON
P008,spaghetti,paste făinoase,Combino,500,g,4.35,RON
P003,ouă Ogradă,ouă,Ogradă,10,buc,14.1,RON
P023,săpun lichid antibacterian,îngrijire personală,Cien,500,ml,5.25,RON
P036,smântână 12%,lactate,LaDorna,200,g,4.05,RON
P022,șampon păr uscat,îngrijire personală,Cien,400,ml,8.95,RON
P017,hârtie igienică 3 straturi,produse de menaj,Floralys,10,role,18.95,RON
P002,iaurt natur,lactate,Pilos,0.4,kg,4.25,RON
P032,ouă M,ouă,Ferma Veche,6,buc,11.2,RON
P033,apă minerală,băuturi,Borsec,2,l,3.75,RON
P005,pâine albă feliată,panificație,Chef Select,500,g,4.85,RON
P026,lapte UHT 1.5%,lactate,Zuzu,1,l,6.9,RON
P091,roșii cherry,legume și fructe,Carrefour,250,g,8,RON
P030,piept de curcan,carne,Aldis,1,kg,28.95,RON
P001,lapte integral 3.5%,lactate,Pilos,1,l,7.35,RON
P035,ciocolată cu lapte,gustări,Milka,100,g,5.25,RON
P006,roșii cherry,legume și fructe,Solevita,250,g,8.2,RON
P011,cafea măcinată,cafea,Bellarom,0.25,kg,17.25,RON
P142,cafea măcinată,cafea,Bellarom,0.75,kg,21.5,RON
P012,ciocolată neagră 70%,gustări,Fin Carre,100,g,4.6,RON
P013,smântână fermentată 20%,lactate,Pilos,200,g,3.9,RON
P015,muesli cu fructe,mic dejun,Crownfield,500,g,10.1,RON
P034,cafea instant,cafea,Nescafé,200,g,25.5,RON
P027,ouă M,ouă,Ferma Veche,10,buc,13.15,RON
P025,brânză topită feliată,lactate,Pilos,150,g,5.3,RON
P038,hârtie igienică dublu strat,produse de menaj,Zewa,8,role,25.2,RON
P037,unt President 82%,lactate,President,250,g,10.9,RON
